Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1994","1994","100 g/ha","10032","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1995","1995","100 g/ha","9695","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1996","1996","100 g/ha","10669","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1997","1997","100 g/ha","9959","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1998","1998","100 g/ha","11371","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1999","1999","100 g/ha","10897","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2000","2000","100 g/ha","10838","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2001","2001","100 g/ha","11182","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2002","2002","100 g/ha","11282","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2003","2003","100 g/ha","10957","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2004","2004","100 g/ha","15023","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2005","2005","100 g/ha","14713","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2006","2006","100 g/ha","14853","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2007","2007","100 g/ha","16508","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2008","2008","100 g/ha","26337","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2009","2009","100 g/ha","25515","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2010","2010","100 g/ha","28061","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2011","2011","100 g/ha","27262","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2012","2012","100 g/ha","34187","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2013","2013","100 g/ha","30868","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2014","2014","100 g/ha","35906","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2015","2015","100 g/ha","35547","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2016","2016","100 g/ha","36073","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2017","2017","100 g/ha","37253","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2018","2018","100 g/ha","38090","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2019","2019","100 g/ha","38715","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2020","2020","100 g/ha","40067","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","2021","2021","100 g/ha","44254","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1961","1961","100 g/ha","6204","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1962","1962","100 g/ha","7837","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1963","1963","100 g/ha","6129","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1964","1964","100 g/ha","6788","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1965","1965","100 g/ha","7165","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1966","1966","100 g/ha","5511","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1967","1967","100 g/ha","6180","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1968","1968","100 g/ha","6048","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1969","1969","100 g/ha","7823","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1970","1970","100 g/ha","5456","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1971","1971","100 g/ha","5984","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1972","1972","100 g/ha","6387","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1973","1973","100 g/ha","6107","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1974","1974","100 g/ha","5420","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1975","1975","100 g/ha","5069","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1976","1976","100 g/ha","5387","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1977","1977","100 g/ha","5695","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1978","1978","100 g/ha","6031","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1979","1979","100 g/ha","6009","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1980","1980","100 g/ha","6439","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1981","1981","100 g/ha","6225","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1982","1982","100 g/ha","6273","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1983","1983","100 g/ha","7399","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1984","1984","100 g/ha","6663","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1985","1985","100 g/ha","7046","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1986","1986","100 g/ha","6656","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1987","1987","100 g/ha","6350","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1988","1988","100 g/ha","6768","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1989","1989","100 g/ha","6854","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1990","1990","100 g/ha","6336","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1991","1991","100 g/ha","6067","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1992","1992","100 g/ha","6058","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1993","1993","100 g/ha","7335","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1994","1994","100 g/ha","7107","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1995","1995","100 g/ha","6514","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1996","1996","100 g/ha","6371","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1997","1997","100 g/ha","6280","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1998","1998","100 g/ha","7236","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","1999","1999","100 g/ha","7398","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2000","2000","100 g/ha","7374","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2001","2001","100 g/ha","7422","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2002","2002","100 g/ha","7433","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2003","2003","100 g/ha","7143","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2004","2004","100 g/ha","9086","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2005","2005","100 g/ha","10334","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2006","2006","100 g/ha","10603","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2007","2007","100 g/ha","10036","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2008","2008","100 g/ha","10707","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2009","2009","100 g/ha","10877","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2010","2010","100 g/ha","11106","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2011","2011","100 g/ha","10284","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2012","2012","100 g/ha","11286","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2013","2013","100 g/ha","11742","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2014","2014","100 g/ha","6293","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2015","2015","100 g/ha","10219","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2016","2016","100 g/ha","13925","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2017","2017","100 g/ha","8293","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2018","2018","100 g/ha","10755","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2019","2019","100 g/ha","9746","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2020","2020","100 g/ha","9826","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0118","Millet","2021","2021","100 g/ha","12365","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1961","1961","100 g/ha","18626","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1962","1962","100 g/ha","19539","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1963","1963","100 g/ha","19547","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1964","1964","100 g/ha","19962","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1965","1965","100 g/ha","17696","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1966","1966","100 g/ha","18365","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1967","1967","100 g/ha","21259","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1968","1968","100 g/ha","23968","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1969","1969","100 g/ha","25654","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1970","1970","100 g/ha","22485","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1971","1971","100 g/ha","20119","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1972","1972","100 g/ha","20540","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1973","1973","100 g/ha","19539","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1974","1974","100 g/ha","20104","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1975","1975","100 g/ha","19325","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1976","1976","100 g/ha","19712","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1977","1977","100 g/ha","21441","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1978","1978","100 g/ha","22521","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1979","1979","100 g/ha","24282","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1980","1980","100 g/ha","25897","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1981","1981","100 g/ha","26462","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1982","1982","100 g/ha","28896","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1983","1983","100 g/ha","31977","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1984","1984","100 g/ha","27316","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1985","1985","100 g/ha","30777","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1986","1986","100 g/ha","30944","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1987","1987","100 g/ha","31318","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1988","1988","100 g/ha","30367","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1989","1989","100 g/ha","29916","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1990","1990","100 g/ha","30643","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1991","1991","100 g/ha","30215","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1992","1992","100 g/ha","30544","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1993","1993","100 g/ha","31350","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1994","1994","100 g/ha","29933","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1995","1995","100 g/ha","31586","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1996","1996","100 g/ha","31231","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1997","1997","100 g/ha","32451","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1998","1998","100 g/ha","35102","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","1999","1999","100 g/ha","32810","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2000","2000","100 g/ha","34374","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2001","2001","100 g/ha","35228","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2002","2002","100 g/ha","34889","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2003","2003","100 g/ha","33696","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2004","2004","100 g/ha","36516","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2005","2005","100 g/ha","35465","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2006","2006","100 g/ha","36705","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2007","2007","100 g/ha","38337","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2008","2008","100 g/ha","36800","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2009","2009","100 g/ha","38748","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2010","2010","100 g/ha","40558","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2011","2011","100 g/ha","35699","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2012","2012","100 g/ha","36057","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2013","2013","100 g/ha","38897","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2014","2014","100 g/ha","38377","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2015","2015","100 g/ha","38758","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2016","2016","100 g/ha","38728","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2017","2017","100 g/ha","30103","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2018","2018","100 g/ha","37752","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2019","2019","100 g/ha","47954","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2020","2020","100 g/ha","48021","A","Official figure"
